n,scipyTime,myTime
1,0.00012612342834472656,4.00543212890625e-05
2,8.845329284667969e-05,5.626678466796875e-05
3,0.0001347064971923828,0.00023055076599121094
4,0.0001289844512939453,0.0002834796905517578
5,0.0001881122589111328,0.000476837158203125
6,0.0001571178436279297,0.0006520748138427734
7,0.00017762184143066406,0.001018524169921875
8,0.00018477439880371094,0.0014564990997314453
9,0.00020122528076171875,0.001968860626220703
10,0.00021576881408691406,0.0027494430541992188
11,0.0002620220184326172,0.003577709197998047
12,0.00024080276489257812,0.004843473434448242
13,0.0003323554992675781,0.005856990814208984
14,0.0003409385681152344,0.0076313018798828125
15,0.00047135353088378906,0.008862972259521484
16,0.00031447410583496094,0.011330604553222656
17,0.0004086494445800781,0.013294219970703125
18,0.0004343986511230469,0.015443563461303711
19,0.00047659873962402344,0.018152236938476562
20,0.0004405975341796875,0.0210113525390625
21,0.0005087852478027344,0.02438521385192871
22,0.0005795955657958984,0.02779245376586914
23,0.0005443096160888672,0.03176283836364746
24,0.0005736351013183594,0.03567051887512207
25,0.00060272216796875,0.039830923080444336
26,0.0006196498870849609,0.04466843605041504
27,0.0006756782531738281,0.05088472366333008
28,0.0006451606750488281,0.05599808692932129
29,0.0007724761962890625,0.062090158462524414
30,0.0006923675537109375,0.06789374351501465
31,0.0007421970367431641,0.07516193389892578
32,0.0006499290466308594,0.08229851722717285
33,0.0007040500640869141,0.08983349800109863
34,0.0007224082946777344,0.09799075126647949
35,0.0007295608520507812,0.10690593719482422
36,0.0007226467132568359,0.11623620986938477
37,0.0008606910705566406,0.1260547637939453
38,0.0008778572082519531,0.13668417930603027
39,0.0008046627044677734,0.14659523963928223
40,0.0008072853088378906,0.15959763526916504
41,0.0010981559753417969,0.1708812713623047
42,0.0009450912475585938,0.18292498588562012
43,0.0011403560638427734,0.19844508171081543
44,0.0009524822235107422,0.2248218059539795
45,0.0010657310485839844,0.22914886474609375
46,0.0011310577392578125,0.23990941047668457
47,0.001316070556640625,0.25586986541748047
48,0.0011057853698730469,0.27292823791503906
49,0.001096487045288086,0.28939175605773926
50,0.0012316703796386719,0.3070096969604492
51,0.0013058185577392578,0.3267996311187744
52,0.0012438297271728516,0.34499216079711914
53,0.0015513896942138672,0.3649411201477051
54,0.0012860298156738281,0.3870701789855957
55,0.0013005733489990234,0.4086577892303467
56,0.0014309883117675781,0.43088245391845703
57,0.0015180110931396484,0.4543764591217041
58,0.0014905929565429688,0.478410005569458
59,0.0017826557159423828,0.5045311450958252
60,0.0013895034790039062,0.5269279479980469
61,0.0019195079803466797,0.5533771514892578
62,0.001683950424194336,0.5800530910491943
63,0.0015196800231933594,0.6075053215026855
64,0.0014476776123046875,0.6413211822509766
65,0.0016293525695800781,0.6771481037139893
66,0.0015535354614257812,0.707836389541626
67,0.00215911865234375,0.7418177127838135
68,0.001657724380493164,0.7644352912902832
69,0.0016925334930419922,0.7998199462890625
70,0.0017113685607910156,0.8365623950958252
71,0.002362966537475586,0.8742454051971436
72,0.0016295909881591797,0.9128837585449219
73,0.0024797916412353516,0.9501049518585205
74,0.0019478797912597656,0.9878365993499756
75,0.0017426013946533203,1.0277681350708008
76,0.0018634796142578125,1.0732145309448242
77,0.0018379688262939453,1.1150753498077393
78,0.001813650131225586,1.1708250045776367
79,0.002643585205078125,1.2069427967071533
80,0.0016360282897949219,1.2399728298187256
81,0.001664876937866211,1.2900447845458984
82,0.0020487308502197266,1.336512804031372
83,0.0029075145721435547,1.386645793914795
84,0.0017957687377929688,1.4355881214141846
85,0.0018513202667236328,1.5035557746887207
86,0.002319812774658203,1.545079231262207
87,0.002093076705932617,1.6037852764129639
88,0.0019156932830810547,1.7106566429138184
89,0.003319263458251953,1.7981898784637451
90,0.001867055892944336,1.845324993133545
91,0.0023260116577148438,1.8579354286193848
92,0.002226114273071289,1.8904826641082764
93,0.0022513866424560547,1.9834344387054443
94,0.0024721622467041016,2.036769390106201
95,0.002270936965942383,2.0888571739196777
96,0.0020456314086914062,2.177233934402466
97,0.004125833511352539,2.3635575771331787
98,0.002477407455444336,2.3879199028015137
99,0.0021467208862304688,2.68180251121521
